word,aslcitizen_train,aslcitizen_val,aslcitizen_test,aslcitizen_total,aslcitizen_signers,wlasl_available,combined_total_if_added_to_train,pct_increase
BATHROOM,14,3,14,31,28,36,67,116.1
BYE,15,3,12,30,27,17,47,56.7
DEAF,30,7,25,62,31,23,85,37.1
DRINK,28,9,24,61,32,35,96,57.4
EAT,30,7,26,63,31,19,82,30.2
HELLO,14,4,14,32,29,13,45,40.6
HELP,13,5,13,31,27,22,53,71.0
HOW,31,6,25,62,30,18,80,29.0
HUNGRY,15,4,12,31,30,12,43,38.7
HURT,14,4,12,30,29,12,42,40.0
INTERPRETER,15,4,11,30,28,9,39,30.0
MORE,15,4,12,31,30,15,46,48.4
NAME,14,4,14,32,29,16,48,50.0
NO,16,3,11,30,30,22,52,73.3
PAIN,14,4,14,32,29,10,42,31.2
PLEASE,14,4,13,31,29,15,46,48.4
SICK,14,4,13,31,29,17,48,54.8
SORRY,15,3,12,30,28,14,44,46.7
STOP,16,3,12,31,27,11,42,35.5
THANKYOU,16,3,12,31,30,14,45,45.2
UNDERSTAND,14,4,14,32,29,14,46,43.8
WAIT,13,4,13,30,28,18,48,60.0
WATER,14,4,12,30,29,18,48,60.0
WHAT,31,7,25,63,27,21,84,33.3
WHERE,14,4,13,31,29,15,46,48.4
WHO,14,4,14,32,29,25,57,78.1
WHY,14,4,14,32,29,17,49,53.1
YES,15,5,10,30,26,22,52,73.3
