word,wlasl_gloss(es),instances,unique_signers,train,val,test
INTERPRETER,interpreter,9,9,6,2,1
PAIN,pain,10,9,7,2,1
STOP,stop,11,11,7,2,2
HUNGRY,hungry,12,12,8,2,2
HURT,hurt,12,10,8,2,2
HELLO,hello,13,13,9,2,2
THANKYOU,thank you,14,11,10,2,2
SORRY,sorry,14,12,10,2,2
UNDERSTAND,understand,14,14,10,2,2
PLEASE,please,15,14,10,3,2
MORE,more,15,14,10,3,2
WHERE,where,15,15,10,3,2
NAME,name,16,14,11,3,2
BYE,bye+goodbye,17,8,12,3,2
SICK,sick,17,14,12,3,2
WHY,why,17,15,12,3,2
WAIT,wait,18,16,13,3,2
WATER,water,18,15,13,3,2
HOW,how,18,14,12,3,3
EAT,eat,19,16,14,3,2
WHAT,what,21,18,14,4,3
YES,yes,22,17,15,4,3
NO,no,22,18,15,4,3
HELP,help,22,15,15,4,3
DEAF,deaf,23,18,16,4,3
WHO,who,25,21,18,4,3
DRINK,drink,35,18,25,6,4
BATHROOM,bathroom+toilet+restroom,36,19,25,6,5
