label,gloss,participant,video_file,split
THANKYOU,THANKYOU,P1,6508465822424006-THANK YOU.mp4,train
THANKYOU,THANKYOU,P40,7535449770372906-THANK YOU.mp4,train
NO,NO,P40,5082858473744953-NO.mp4,train
BYE,BYE,P40,9404479880375034-BYE.mp4,train
THANKYOU,THANKYOU,P43,014439537236845323-THANK YOU.mp4,train
INTERPRETER,INTERPRETER,P40,6692546186048767-INTERPRETER.mp4,train
NO,NO,P43,5372668319999747-NO.mp4,train
HOW,HOW1,P40,7666802297995068-HOW.mp4,train
DEAF,DEAF1,P40,7822434515793355-DEAF.mp4,train
HOW,HOW2,P40,6618742352834965-HOW 2.mp4,train
STOP,STOP,P40,16617331553945736-STOP.mp4,train
WHAT,WHAT1,P40,011439809438488657-WHAT 2.mp4,train
WHAT,WHAT2,P40,576125539435921-WHAT 1.mp4,train
YES,YES,P40,1555998439795525-YES.mp4,train
DRINK,DRINK2,P40,17063504743468516-DRINK 2.mp4,train
BYE,BYE,P43,8852825102646966-BYE.mp4,train
INTERPRETER,INTERPRETER,P43,3318731808241877-INTERPRETER.mp4,train
WAIT,WAIT,P40,6807479789190645-WAIT.mp4,train
HELP,HELP,P40,12979829347320937-HELP.mp4,train
EAT,EAT1,P40,5237431195885818-EAT.mp4,train
BATHROOM,BATHROOM,P40,8819170852454765-BATHROOM.mp4,train
EAT,EAT1,P40,33555147348315106-EAT.mp4,train
SORRY,SORRY,P40,7256673521593155-SORRY.mp4,train
HUNGRY,HUNGRY,P40,08524949524247205-HUNGRY.mp4,train
PLEASE,PLEASE,P40,4782730717831809-PLEASE.mp4,train
WHERE,WHERE,P40,9574229853297838-WHERE.mp4,train
DRINK,DRINK1,P40,9841052916244253-DRINK.mp4,train
SICK,SICK,P40,9005893183984361-SICK.mp4,train
MORE,MORE,P40,8385294089384643-MORE.mp4,train
WHO,WHO,P40,17383536861491344-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P40,4687993210650012-UNDERSTAND.mp4,train
NAME,NAME,P40,45850991964011034-NAME.mp4,train
PAIN,PAIN,P40,41903857571087433-PAIN.mp4,train
WHY,WHY,P40,7885296477376487-WHY.mp4,train
HELLO,HELLO,P40,0022932153577568393-HELLO.mp4,train
HURT,HURT,P40,16631130373956604-HURT.mp4,train
DEAF,DEAF1,P40,8003732238675179-DEAF.mp4,train
HOW,HOW1,P14,9117355925466168-HOW.mp4,train
DEAF,DEAF1,P14,07807851209534378-DEAF.mp4,train
HOW,HOW2,P14,4605549971284748-HOW 2.mp4,train
HOW,HOW1,P40,9811460119529283-HOW.mp4,train
DEAF,DEAF1,P40,14662097708148014-DEAF.mp4,train
HOW,HOW2,P40,34202486889563555-HOW 2.mp4,train
STOP,STOP,P40,07893366237759558-STOP.mp4,train
WHAT,WHAT1,P40,027816838285841916-WHAT 2.mp4,train
WHAT,WHAT2,P40,3893021840905462-WHAT 1.mp4,train
STOP,STOP,P37,8893256597213444-STOP.mp4,train
WHAT,WHAT1,P37,8405493387581946-WHAT 2.mp4,train
WHAT,WHAT2,P37,6481029082097123-WHAT 1.mp4,train
YES,YES,P37,44146024789241256-YES.mp4,train
DRINK,DRINK2,P37,2789046705437668-DRINK 2.mp4,train
WAIT,WAIT,P37,0863524332460317-WAIT.mp4,train
WATER,WATER,P37,6216809763132565-WATER.mp4,train
HELP,HELP,P37,9437772948180145-HELP.mp4,train
EAT,EAT1,P37,3878260902223658-EAT.mp4,train
BATHROOM,BATHROOM,P37,8131544680721032-BATHROOM.mp4,train
EAT,EAT1,P37,4589443576656864-EAT.mp4,train
SORRY,SORRY,P37,8989337086309281-SORRY.mp4,train
HUNGRY,HUNGRY,P37,7518611049674775-HUNGRY.mp4,train
PLEASE,PLEASE,P37,04515307711600891-PLEASE.mp4,train
WHERE,WHERE,P37,9824526442836845-WHERE.mp4,train
DRINK,DRINK1,P37,8114625026876388-DRINK.mp4,train
SICK,SICK,P37,689651243355925-SICK.mp4,train
MORE,MORE,P37,7168321371853796-MORE.mp4,train
WHO,WHO,P37,22349971035391758-WHO.mp4,train
UNDERSTAND,UNDERSTAND,P37,2999107393441156-UNDERSTAND.mp4,train
NAME,NAME,P37,9125300798453833-NAME.mp4,train
PAIN,PAIN,P37,42535053648961685-PAIN.mp4,train
WHY,WHY,P37,8351529407222296-WHY.mp4,train
HELLO,HELLO,P37,8486809407942575-HELLO.mp4,train
HURT,HURT,P37,9086920406108443-HURT.mp4,train
DEAF,DEAF1,P37,9833342420720304-DEAF.mp4,train
THANKYOU,THANKYOU,P37,15769775934939156-THANK YOU.mp4,train
NO,NO,P37,09714329486323847-NO.mp4,train
INTERPRETER,INTERPRETER,P34,7296170224092156-INTERPRETER.mp4,train
YES,YES,P34,16728596536749274-YES.mp4,train
WATER,WATER,P7,7449721965435019-WATER.mp4,train
BATHROOM,BATHROOM,P7,4262461376364133-BATHROOM.mp4,train
EAT,EAT1,P7,3407129339550383-EAT.mp4,train
SORRY,SORRY,P7,62778761952392-SORRY.mp4,train
HUNGRY,HUNGRY,P7,3031010038877062-HUNGRY.mp4,train
PLEASE,PLEASE,P7,31545854783740124-PLEASE.mp4,train
WHERE,WHERE,P7,7968041209479837-WHERE.mp4,train
DRINK,DRINK1,P7,9694895312894787-DRINK.mp4,train
SICK,SICK,P7,7468545549250416-SICK.mp4,train
MORE,MORE,P7,19756865098292908-MORE.mp4,train
