source,label,participant,clip,total_frames,hand_frames,hand_rate,duration_s,flat_frac,centroid_z,flags,npz
wlasl,WATER,WLASL_121,70069_2,104,24,0.231,3.47,0.81,6.43,"LOW_HAND_RATE,CORRUPT_FRAMES,FAR_FROM_WORD",train__WATER__WLASL_121__wlasl_70069_2.npz
aslcitizen,BYE,P40,9404479880375034-BYE,110,31,0.282,3.67,0.591,3.45,"LOW_HAND_RATE,CORRUPT_FRAMES,FAR_FROM_WORD",train__BYE__P40__9404479880375034-BYE.npz
wlasl,MORE,WLASL_64,36837_9,110,35,0.318,3.67,1.0,3.27,"LOW_HAND_RATE,CORRUPT_FRAMES,FAR_FROM_WORD",train__MORE__WLASL_64__wlasl_36837_9.npz
wlasl,SORRY,WLASL_121,70225_1,93,33,0.355,3.1,0.474,5.15,"LOW_HAND_RATE,CORRUPT_FRAMES,FAR_FROM_WORD",train__SORRY__WLASL_121__wlasl_70225_1.npz
wlasl,SORRY,WLASL_38,53366_10,109,39,0.358,3.64,0.591,5.67,"LOW_HAND_RATE,CORRUPT_FRAMES,FAR_FROM_WORD",train__SORRY__WLASL_38__wlasl_53366_10.npz
aslcitizen,YES,P46,9953610281521326-YES,664,264,0.398,22.13,0.0,5.3,"LOW_HAND_RATE,TOO_LONG,FAR_FROM_WORD",train__YES__P46__9953610281521326-YES.npz
wlasl,HOW,WLASL_121,70295_2,94,38,0.404,3.14,0.947,5.98,"LOW_HAND_RATE,CORRUPT_FRAMES,FAR_FROM_WORD",train__HOW__WLASL_121__wlasl_70295_2.npz
wlasl,BATHROOM,WLASL_64,05307_11,144,3,0.021,4.8,1.0,0.17,"LOW_HAND_RATE,CORRUPT_FRAMES",train__BATHROOM__WLASL_64__wlasl_05307_11.npz
wlasl,WHY,WLASL_121,70213_2,87,2,0.023,2.9,0.278,0.32,"LOW_HAND_RATE,CORRUPT_FRAMES",train__WHY__WLASL_121__wlasl_70213_2.npz
aslcitizen,WHAT,P42,8918099698038209-WHAT 1,63,15,0.238,2.06,0.692,-0.26,"LOW_HAND_RATE,CORRUPT_FRAMES",test__WHAT__P42__8918099698038209-WHAT 1.npz
aslcitizen,WHAT,P42,6451705780589494-WHAT 2,71,18,0.254,2.37,0.667,-0.24,"LOW_HAND_RATE,CORRUPT_FRAMES",test__WHAT__P42__6451705780589494-WHAT 2.npz
aslcitizen,DRINK,P9,06473784191201326-DRINK,93,24,0.258,3.1,0.0,3.56,"LOW_HAND_RATE,FAR_FROM_WORD",test__DRINK__P9__06473784191201326-DRINK.npz
aslcitizen,DEAF,P33,907697426338528-DEAF 2,211,57,0.27,6.95,0.0,4.01,"LOW_HAND_RATE,FAR_FROM_WORD",train__DEAF__P33__907697426338528-DEAF 2.npz
aslcitizen,NO,P40,5082858473744953-NO,95,27,0.284,3.17,1.0,-0.05,"LOW_HAND_RATE,CORRUPT_FRAMES",train__NO__P40__5082858473744953-NO.npz
wlasl,HURT,WLASL_121,70147_1,134,39,0.291,4.47,0.259,0.3,"LOW_HAND_RATE,CORRUPT_FRAMES",train__HURT__WLASL_121__wlasl_70147_1.npz
aslcitizen,UNDERSTAND,P7,6593382490905721-UNDERSTAND,85,25,0.294,2.8,0.0,3.57,"LOW_HAND_RATE,FAR_FROM_WORD",train__UNDERSTAND__P7__6593382490905721-UNDERSTAND.npz
wlasl,THANKYOU,WLASL_82,57663_6,89,27,0.303,2.97,0.0,9.95,"LOW_HAND_RATE,FAR_FROM_WORD",train__THANKYOU__WLASL_82__wlasl_57663_6.npz
aslcitizen,HURT,P9,14205958632175242-HURT,167,52,0.311,5.57,0.0,4.6,"LOW_HAND_RATE,FAR_FROM_WORD",test__HURT__P9__14205958632175242-HURT.npz
aslcitizen,NAME,P33,68008701658875-NAME,154,51,0.331,5.13,0.0,3.16,"LOW_HAND_RATE,FAR_FROM_WORD",train__NAME__P33__68008701658875-NAME.npz
wlasl,HUNGRY,WLASL_9,28375_0,60,20,0.333,2.4,1.0,-0.02,"LOW_HAND_RATE,CORRUPT_FRAMES",train__HUNGRY__WLASL_9__wlasl_28375_0.npz
aslcitizen,THANKYOU,P40,7535449770372906-THANK YOU,92,31,0.337,3.07,0.947,0.78,"LOW_HAND_RATE,CORRUPT_FRAMES",train__THANKYOU__P40__7535449770372906-THANK YOU.npz
aslcitizen,DEAF,P26,022399356029200845-DEAF 2,86,29,0.337,2.87,0.0,3.81,"LOW_HAND_RATE,FAR_FROM_WORD",val__DEAF__P26__022399356029200845-DEAF 2.npz
aslcitizen,WATER,P31,0020247732352038916-WATER,125,43,0.344,4.17,0.0,5.02,"LOW_HAND_RATE,FAR_FROM_WORD",train__WATER__P31__0020247732352038916-WATER.npz
aslcitizen,BYE,P26,2889010159260097-BYE,46,16,0.348,1.5,0.7,0.94,"LOW_HAND_RATE,CORRUPT_FRAMES",val__BYE__P26__2889010159260097-BYE.npz
