label,gloss,participant,video_file,split
HELLO,hello,WLASL_9,27171_0.avi,train
HELLO,hello,WLASL_121,70017_1.avi,train
HELLO,hello,WLASL_64,27180_5.avi,train
HELLO,hello,WLASL_5,27181_7.avi,train
HELLO,hello,WLASL_46,27172_11.avi,train
HELLO,hello,WLASL_21,27173_12.avi,train
BYE,bye,WLASL_59,08510_0.avi,train
BYE,goodbye,WLASL_9,25041_0.avi,train
BYE,goodbye,WLASL_3,25044_1.avi,train
THANKYOU,thank you,WLASL_9,57653_0.avi,train
THANKYOU,thank you,WLASL_115,69502_1.avi,train
THANKYOU,thank you,WLASL_82,57663_6.avi,train
THANKYOU,thank you,WLASL_46,57655_9.avi,train
THANKYOU,thank you,WLASL_13,57656_13.avi,train
THANKYOU,thank you,WLASL_15,57657_14.avi,train
PLEASE,please,WLASL_9,43213_0.avi,train
PLEASE,please,WLASL_115,69434_1.avi,train
PLEASE,please,WLASL_121,70220_2.avi,train
PLEASE,please,WLASL_36,43217_6.avi,train
PLEASE,please,WLASL_3,43218_8.avi,train
PLEASE,please,WLASL_13,43219_9.avi,train
PLEASE,please,WLASL_15,43220_10.avi,train
PLEASE,please,WLASL_5,43224_14.avi,train
SORRY,sorry,WLASL_9,53363_0.avi,train
SORRY,sorry,WLASL_121,70225_1.avi,train
SORRY,sorry,WLASL_5,53372_3.avi,train
SORRY,sorry,WLASL_5,53373_4.avi,train
SORRY,sorry,WLASL_2,53365_7.avi,train
SORRY,sorry,WLASL_38,53366_10.avi,train
SORRY,sorry,WLASL_13,53367_11.avi,train
YES,yes,WLASL_9,64275_0.avi,train
YES,yes,WLASL_118,69546_1.avi,train
YES,yes,WLASL_13,64287_2.avi,train
YES,yes,WLASL_109,68192_3.avi,train
YES,yes,WLASL_3,64284_5.avi,train
YES,yes,WLASL_5,64294_10.avi,train
YES,yes,WLASL_5,64295_11.avi,train
YES,yes,WLASL_47,64296_12.avi,train
YES,yes,WLASL_5,64297_14.avi,train
YES,yes,WLASL_28,64280_15.avi,train
YES,yes,WLASL_36,64281_19.avi,train
YES,yes,WLASL_15,64288_20.avi,train
YES,yes,WLASL_4,64283_23.avi,train
NO,no,WLASL_9,38482_0.avi,train
NO,no,WLASL_118,69411_1.avi,train
NO,no,WLASL_109,68110_2.avi,train
NO,no,WLASL_47,38539_4.avi,train
NO,no,WLASL_5,38540_5.avi,train
NO,no,WLASL_5,38541_6.avi,train
NO,no,WLASL_36,38525_9.avi,train
NO,no,WLASL_3,38527_12.avi,train
NO,no,WLASL_13,38529_15.avi,train
NO,no,WLASL_15,38530_16.avi,train
NO,no,WLASL_56,38524_21.avi,train
NO,no,WLASL_5,38538_27.avi,train
HELP,help,WLASL_9,27194_0.avi,train
HELP,help,WLASL_115,69364_1.avi,train
