video_id,instance_id,label,status,detail
68236,2,HELLO,FAILED,yt-dlp failed: ERROR: [youtube] 3qKcPONtNXQ: This video is unavailable
67755,6,HELLO,FAILED,yt-dlp failed: ERROR: [youtube] oRsVMK7sxMQ: Private video
27181,7,HELLO,ok,52 frames
27182,8,HELLO,FAILED,yt-dlp failed: ERROR: [youtube] WbkSmhKTltU: This video is unavailable
27183,9,HELLO,FAILED,unsupported format .swf (Flash/swf - not decodable here)
27184,10,HELLO,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
27175,13,HELLO,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/h/hello.mp4
27177,14,HELLO,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/6/6353.mp4
08511,1,BYE,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/b/bye-wave.mp4
08512,2,BYE,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/22/22741.mp4
08514,4,BYE,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/22/22865.mp4
08515,5,BYE,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/22/22866.mp4
08516,6,BYE,FAILED,unsupported format .swf (Flash/swf - not decodable here)
08517,7,BYE,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
25052,3,BYE,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/22/22866.mp4
25053,4,BYE,FAILED,yt-dlp failed: ERROR: [youtube] FdZx-kM6jhM: This video is unavailable
25054,5,BYE,FAILED,yt-dlp failed: ERROR: [youtube] wUIvZdlxMx0: This video is unavailable
25055,6,BYE,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
25047,8,BYE,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/g/good-bye.mp4
25048,9,BYE,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/g/goodbye.mp4
25049,10,BYE,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/22/22741.mp4
25051,12,BYE,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/22/22865.mp4
68796,2,THANKYOU,FAILED,yt-dlp failed: ERROR: [youtube] pj0YH_l8TNM: This video is unavailable
57663,6,THANKYOU,ok,89 frames
57664,7,THANKYOU,FAILED,yt-dlp failed: ERROR: [youtube] lJXvGI7r_Fc: This video is unavailable
66598,8,THANKYOU,FAILED,"HTTPSConnectionPool(host='aslsignbank.haskins.yale.edu', port=443): Max retries exceeded with url: /dictionary/protected_media/glossvideo/ASL/TH/THANK-YOU-1198.mp4 (Caused by SSLError(SSLCertVerificat"
57665,10,THANKYOU,FAILED,yt-dlp failed: ERROR: [youtube] sH87G_Bz_nA: This video is unavailable
57666,11,THANKYOU,FAILED,yt-dlp failed: ERROR: [youtube] t8Hr0IHghrQ: This video is unavailable
57667,12,THANKYOU,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
57658,15,THANKYOU,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/t/thank.mp4
57659,16,THANKYOU,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/14/14353.mp4
68670,3,PLEASE,FAILED,yt-dlp failed: ERROR: [youtube] LTVv46_N764: This video is unavailable
43225,4,PLEASE,FAILED,unsupported format .swf (Flash/swf - not decodable here)
43226,5,PLEASE,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
67083,7,PLEASE,FAILED,yt-dlp failed: ERROR: [youtube] RHeFBNVYii4: Private video
43221,11,PLEASE,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/p/please.mp4
43222,12,PLEASE,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/6/6966.mp4
43223,13,PLEASE,FAILED,yt-dlp failed: ERROR: [youtube] QyqHzUY36cw: This video is unavailable
43224,14,PLEASE,ok,71 frames
53371,2,SORRY,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/6/6968.mp4
53372,3,SORRY,ok,66 frames
53373,4,SORRY,ok,66 frames
53374,5,SORRY,FAILED,unsupported format .swf (Flash/swf - not decodable here)
66536,6,SORRY,FAILED,"HTTPSConnectionPool(host='aslsignbank.haskins.yale.edu', port=443): Max retries exceeded with url: /dictionary/protected_media/glossvideo/ASL/SO/SORRY-566.mp4 (Caused by SSLError(SSLCertVerificationEr"
67228,8,SORRY,FAILED,yt-dlp failed: ERROR: [youtube] BL90-ejIQ9Y: Private video
53375,9,SORRY,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
53366,10,SORRY,ok,109 frames
53368,12,SORRY,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/s/sorry.mp4
53370,14,SORRY,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/6/6967.mp4
68192,3,YES,ok,85 frames
64290,4,YES,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/y/yes.mp4
64291,6,YES,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/23/23544.mp4
64292,8,YES,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/23/23545.mp4
64293,9,YES,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/23/23546.mp4
64294,10,YES,ok,59 frames
64295,11,YES,ok,59 frames
64296,12,YES,ok,119 frames
66820,13,YES,FAILED,"HTTPSConnectionPool(host='aslsignbank.haskins.yale.edu', port=443): Max retries exceeded with url: /dictionary/protected_media/glossvideo/ASL/YE/YES-1472.mp4 (Caused by SSLError(SSLCertVerificationErr"
64298,16,YES,FAILED,yt-dlp failed: ERROR: [youtube] wc2A8AZepy4: This video is unavailable
64299,17,YES,FAILED,unsupported format .swf (Flash/swf - not decodable here)
64300,18,YES,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
64289,22,YES,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/y/yes-fs.mp4
68110,2,NO,ok,111 frames
68406,3,NO,FAILED,yt-dlp failed: ERROR: [youtube] Dd95RFhtSs4: This video is unavailable
38539,4,NO,ok,104 frames
38540,5,NO,ok,93 frames
38541,6,NO,ok,85 frames
38542,7,NO,FAILED,unsupported format .swf (Flash/swf - not decodable here)
38544,10,NO,FAILED,downloaded file is not a valid/decodable video (dead link or non-video response?)
38531,17,NO,FAILED,404 Client Error: Not Found for url: https://www.handspeak.com/word/n/no.mp4
38532,18,NO,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/23/23547.mp4
38533,19,NO,FAILED,403 Client Error: Forbidden for url: https://www.signingsavvy.com/signs/mp4/23/23949.mp4
