label,wlasl_gloss,video_id,instance_id,signer_id,source,url,frame_start,frame_end,fps,bbox_x1,bbox_y1,bbox_x2,bbox_y2
HELLO,hello,27171,0,9,asl5200,https://www.youtube.com/watch?v=SiBub8VD5wo,1297,1343,25,0,0,360,240
HELLO,hello,70017,1,121,northtexas,https://www.youtube.com/watch?v=25ymRY7hbjs,4842,4923,25,127,40,405,360
HELLO,hello,68236,2,112,lillybauer,https://www.youtube.com/watch?v=3qKcPONtNXQ,1,36,25,302,15,915,720
HELLO,hello,27180,5,64,aslu,https://www.youtube.com/watch?v=DYjjcoTkNa0,1,-1,25,131,36,511,345
HELLO,hello,67755,6,109,asllex,https://youtu.be/oRsVMK7sxMQ,1,-1,25,75,18,371,360
HELLO,hello,27181,7,5,aslu,https://www.youtube.com/watch?v=FVjpLa8GqeM,1,-1,25,207,1,930,720
HELLO,hello,27182,8,51,nabboud,https://www.youtube.com/watch?v=WbkSmhKTltU,1,-1,25,276,66,899,720
HELLO,hello,27183,9,16,aslpro,http://www.aslpro.com/main/h/hello.swf,1,-1,25,22,7,220,240
HELLO,hello,27184,10,41,aslsearch,http://www.aslsearch.com/signs/videos/greet.mp4,1,-1,25,182,41,483,400
HELLO,hello,27172,11,46,signschool,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Hello-6kvCOzxP9_A.mp4,1,-1,25,467,0,1583,1080
HELLO,hello,27173,12,21,asldeafined,https://media.asldeafined.com/vocabulary/1468580623.2588.mp4,1,-1,25,34,11,536,480
HELLO,hello,27175,13,14,handspeak,https://www.handspeak.com/word/h/hello.mp4,1,-1,25,30,0,277,240
HELLO,hello,27177,14,11,signingsavvy,https://www.signingsavvy.com/signs/mp4/6/6353.mp4,1,-1,25,38,0,217,192
BYE,bye,08510,0,59,asldeafined,https://media.asldeafined.com/vocabulary/1466725686.9085.mp4,1,-1,25,116,21,526,480
BYE,bye,08511,1,20,handspeak,https://www.handspeak.com/word/b/bye-wave.mp4,1,-1,25,66,0,546,480
BYE,bye,08512,2,10,signingsavvy,https://www.signingsavvy.com/signs/mp4/22/22741.mp4,1,-1,25,73,18,210,192
BYE,bye,08514,4,10,signingsavvy,https://www.signingsavvy.com/signs/mp4/22/22865.mp4,1,-1,25,75,20,211,192
BYE,bye,08515,5,10,signingsavvy,https://www.signingsavvy.com/signs/mp4/22/22866.mp4,1,-1,25,78,22,212,192
BYE,bye,08516,6,25,aslpro,http://www.aslpro.com/main/b/bye.swf,1,-1,25,0,12,245,240
BYE,bye,08517,7,41,aslsearch,http://www.aslsearch.com/signs/videos/bye.mp4,1,-1,25,231,39,486,400
BYE,goodbye,25041,0,9,asl5200,https://www.youtube.com/watch?v=YdHKN_wHZqo,1237,1283,25,0,0,360,240
BYE,goodbye,25044,1,3,signschool,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20GoodBye-73DrhTsZt7k.mp4,1,-1,25,660,20,1681,1079
BYE,goodbye,25052,3,10,signingsavvy,https://www.signingsavvy.com/signs/mp4/22/22866.mp4,1,-1,25,78,22,212,192
BYE,goodbye,25053,4,51,nabboud,https://www.youtube.com/watch?v=FdZx-kM6jhM,1,-1,25,335,65,883,720
BYE,goodbye,25054,5,51,nabboud,https://www.youtube.com/watch?v=wUIvZdlxMx0,1,-1,25,316,67,887,720
BYE,goodbye,25055,6,41,aslsearch,http://www.aslsearch.com/signs/videos/goodbye.mp4,1,-1,25,225,42,470,400
BYE,goodbye,25047,8,20,handspeak,https://www.handspeak.com/word/g/good-bye.mp4,1,-1,25,45,0,478,480
BYE,goodbye,25048,9,20,handspeak,https://www.handspeak.com/word/g/goodbye.mp4,1,-1,25,66,0,546,480
